knee_flexion,knee_valgus,hip_flexion,trunk_inclination,ankle_dorsiflexion,landing_symmetry,risk
17.01,7.93,27.62,32.23,39.34,62.42,High
46.04,8.22,36.4,9.2,38.55,64.2,Moderate
17.64,10.42,23.04,9.5,17.49,74.2,High
18.09,14.03,28.71,5.82,37.37,70.78,High
53.18,13.73,39.56,9.49,36.93,47.05,Moderate
52.57,7.12,40.16,9.76,31.14,53.24,Low
63.89,8.3,44.38,8.55,20.0,47.4,Low
54.24,4.74,38.9,7.6,41.11,33.92,Moderate
39.97,10.7,38.23,18.97,22.61,37.08,High
12.47,11.57,14.84,5.73,23.12,34.35,High
22.35,17.19,20.53,14.94,30.34,35.56,High
21.81,12.75,17.34,27.68,44.69,40.97,High
45.16,11.31,36.44,9.15,35.4,45.28,Moderate
19.87,19.79,18.3,21.7,45.95,72.48,High
18.21,10.45,28.23,7.13,20.95,64.95,High
51.96,3.72,43.72,9.95,21.85,50.1,Low
52.97,6.43,36.08,13.26,23.92,65.44,Moderate
53.03,12.61,35.48,13.96,38.53,42.48,Moderate
53.07,11.95,47.34,12.64,24.24,48.04,Moderate
67.74,6.7,38.94,11.08,31.99,41.51,Low
24.24,21.57,25.43,16.62,14.6,35.16,High
56.57,6.34,48.1,5.21,38.14,52.34,Low
56.41,7.72,43.59,13.66,26.86,54.66,Low
50.17,4.93,38.09,16.92,37.96,35.06,Moderate
60.45,4.3,40.84,11.98,31.47,56.53,Low
16.86,13.32,20.92,30.31,44.75,40.47,High
34.23,3.68,46.68,8.74,23.71,42.59,Moderate
27.29,16.04,25.88,27.01,32.13,30.1,High
23.09,13.44,29.24,18.74,23.36,60.21,High
50.95,3.79,50.2,12.09,41.0,48.6,Low
47.34,12.71,41.18,15.45,28.08,57.55,Moderate
51.87,4.66,55.9,6.94,46.1,59.29,Low
24.41,20.2,31.03,19.34,12.27,63.7,High
51.55,6.64,37.89,18.25,27.23,56.29,Moderate
55.14,13.19,41.5,17.07,36.75,44.71,Moderate
51.64,4.75,39.11,24.25,22.82,48.94,Moderate
59.22,12.21,39.92,17.93,34.02,52.81,Moderate
40.4,9.41,36.22,14.33,20.23,37.94,Moderate
23.42,16.36,13.53,34.83,12.69,26.47,High
45.09,13.2,36.01,17.15,29.75,55.12,Moderate
12.51,15.1,27.35,28.96,38.16,41.87,High
11.1,18.62,24.34,15.74,21.68,38.81,High
74.84,5.53,44.78,10.01,37.64,59.34,Low
14.98,7.67,12.78,17.52,48.38,60.66,High
46.08,6.55,38.78,13.13,25.66,33.27,Moderate
11.27,10.46,27.04,22.59,42.53,63.04,High
25.22,9.44,16.08,27.84,28.27,61.42,High
45.07,3.02,45.21,15.81,22.9,37.78,Moderate
57.73,2.93,36.79,10.1,39.23,41.12,Low
27.12,13.74,25.68,24.57,12.55,36.91,High
53.61,6.8,46.07,8.98,41.69,41.1,Low
23.02,16.63,22.25,17.05,22.78,74.33,High
38.93,5.83,36.95,10.73,41.58,54.6,Moderate
42.25,11.6,36.74,16.48,27.82,39.2,Moderate
20.05,10.71,22.73,13.56,21.12,67.44,High
54.32,6.32,49.34,9.38,22.36,44.64,Low
18.87,7.27,18.02,19.41,28.33,25.61,High
34.48,8.98,32.9,14.56,28.0,43.67,Moderate
41.6,8.13,33.37,17.24,24.89,58.66,Moderate
43.0,6.25,49.57,4.42,28.72,49.38,Low
26.15,7.57,31.94,34.34,25.57,62.32,High
11.23,21.39,13.25,12.21,20.16,31.94,High
26.01,19.79,23.55,10.29,47.36,39.27,High
61.53,7.78,52.03,8.25,37.94,41.65,Low
25.38,17.61,24.52,11.87,42.69,34.24,High
26.72,18.43,23.96,6.38,21.86,65.4,High
24.93,17.5,17.59,28.0,26.49,32.82,High
13.83,21.4,18.39,14.19,27.57,65.98,High
36.9,4.47,35.0,9.65,27.14,57.39,Moderate
55.3,11.72,48.31,10.41,38.53,47.86,Low
59.95,3.83,49.24,1.79,31.38,57.92,Low
42.18,10.78,30.76,21.94,25.34,42.0,Moderate
58.59,6.94,51.7,12.0,40.34,48.29,Low
22.33,7.81,14.29,8.1,25.25,32.28,High
51.64,1.8,46.42,3.85,20.0,55.53,Low
41.21,11.38,29.38,15.74,22.89,58.28,Moderate
21.5,9.43,18.09,28.59,38.94,31.5,High
51.5,6.71,46.12,7.79,36.11,41.02,Low
53.33,4.75,34.58,24.09,27.19,40.42,Moderate
59.18,14.33,40.54,10.92,26.76,50.72,Moderate
50.75,2.06,40.98,10.24,35.4,59.44,Low
15.54,20.48,25.59,28.51,49.02,34.41,High
13.92,12.16,18.88,10.48,19.06,65.68,High
16.39,11.28,20.05,14.05,34.33,39.55,High
48.46,4.6,35.41,24.44,36.67,46.79,Moderate
58.28,3.06,36.6,13.03,42.48,37.1,Low
11.49,14.06,15.2,25.44,47.83,68.56,High
44.15,3.31,42.28,7.72,24.73,36.33,Moderate
42.66,4.82,44.4,18.93,41.28,53.76,Moderate
16.97,13.27,27.56,18.64,38.88,64.31,High
43.0,3.45,45.9,6.09,32.76,51.52,Low
62.06,4.05,35.35,7.8,35.54,41.17,Low
64.81,9.5,51.71,9.56,52.34,45.67,Low
17.12,11.55,26.27,22.85,11.13,41.74,High
18.21,13.18,31.99,5.84,11.36,73.77,High
48.29,3.07,48.96,5.66,26.96,47.28,Low
33.25,3.6,39.13,7.93,43.59,58.18,Moderate
14.99,11.85,25.3,29.83,27.57,30.63,High
13.83,6.19,31.91,33.18,41.99,64.66,High
12.3,16.53,24.42,27.3,20.87,29.46,High
25.21,21.09,23.51,14.6,42.54,69.99,High
34.89,9.07,35.72,19.66,27.28,36.22,High
50.7,13.35,34.35,15.29,34.47,49.04,Moderate
19.34,9.32,15.22,17.03,18.31,74.51,High
48.69,3.7,47.09,8.9,43.4,51.8,Low
58.06,7.31,45.65,10.12,29.51,33.01,Moderate
41.36,8.24,33.33,15.43,28.69,56.68,Moderate
33.23,6.84,46.95,11.4,28.91,58.34,Moderate
54.77,6.78,46.68,10.43,44.73,39.65,Low
41.09,4.84,38.99,15.64,31.14,56.39,Moderate
37.08,10.76,28.15,18.54,24.87,61.12,High
59.53,3.49,34.45,9.75,42.33,64.48,Low
23.87,18.16,23.52,32.09,26.06,68.92,High
49.45,13.46,45.76,11.28,22.6,50.2,Moderate
20.3,18.09,17.04,30.5,40.96,35.8,High
50.99,6.17,46.11,9.4,26.31,59.69,Low
36.75,8.11,40.69,7.49,22.45,47.73,Moderate
46.91,5.21,42.99,24.87,27.31,53.66,Moderate
37.37,11.92,31.91,18.34,33.17,62.61,High
66.62,1.73,43.11,8.15,30.47,50.19,Low
27.97,8.51,13.65,17.58,32.16,36.72,High
19.11,16.96,28.43,27.96,20.45,33.36,High
39.18,9.05,39.04,20.88,27.31,37.89,Moderate
40.02,10.4,39.71,18.38,28.36,60.8,Moderate
53.24,4.87,43.04,23.92,26.63,54.56,Moderate
37.19,5.92,47.61,11.18,32.74,58.69,Moderate
55.88,10.83,37.74,16.83,36.25,42.61,Moderate
46.92,6.26,44.54,10.61,26.38,57.57,Low
51.58,4.72,45.41,10.1,25.67,58.62,Low
57.24,13.98,49.79,11.33,26.63,59.33,Moderate
60.33,6.51,36.55,8.0,37.78,45.63,Low
59.23,3.89,34.96,7.09,49.32,48.88,Low
11.64,18.87,15.18,24.13,38.4,60.21,High
48.25,2.55,53.59,14.32,43.85,50.22,Low
34.72,4.76,46.8,7.97,31.82,44.59,Moderate
19.16,19.74,12.02,7.88,19.71,70.44,High
52.7,4.17,38.51,11.43,42.89,59.96,Low
19.3,8.03,21.95,7.23,14.41,67.92,High
27.73,19.88,27.68,15.7,38.87,59.84,High
13.42,14.1,14.91,14.83,47.14,68.07,High
43.0,3.94,49.57,8.62,29.08,47.51,Low
43.0,3.34,37.66,12.03,28.23,39.94,Low
57.66,5.76,32.53,21.64,35.87,56.61,Moderate
53.27,4.57,41.69,19.36,25.05,55.1,Low
24.37,9.56,20.42,25.51,13.5,29.2,High
22.22,8.48,13.64,18.86,13.7,62.81,High
50.1,6.43,41.3,7.16,39.71,47.73,Low
41.66,10.72,30.02,17.34,25.05,61.99,High
38.26,11.21,36.81,17.83,23.84,42.17,Moderate
60.51,13.82,40.83,16.01,38.93,53.16,Moderate
22.05,20.75,26.6,20.47,29.56,24.49,High
23.04,20.31,12.95,33.78,41.78,27.82,High
36.53,9.87,29.46,17.22,31.67,38.28,Moderate
20.86,7.5,13.95,8.46,23.18,31.82,High
20.64,18.67,18.79,32.46,41.68,32.92,High
34.63,8.26,30.74,20.37,31.08,37.5,High
18.27,13.35,20.71,14.75,34.17,31.99,High
57.74,12.75,43.64,9.61,44.9,51.06,Moderate
58.48,6.01,42.65,10.15,39.71,60.69,Low
49.3,11.06,47.87,13.45,24.51,59.36,Moderate
40.27,5.09,38.23,12.57,42.38,50.56,Moderate
47.69,4.81,34.93,24.77,20.27,57.74,Moderate
63.05,5.57,45.23,9.8,38.52,53.14,Low
41.21,6.9,42.82,8.1,42.6,45.14,Moderate
50.87,4.99,32.27,18.15,42.26,41.02,Moderate
55.11,8.83,41.7,10.1,44.67,38.04,Moderate
58.16,6.59,40.26,11.29,41.31,61.01,Low
38.61,9.25,37.86,15.62,22.84,55.65,Moderate
52.29,7.07,40.51,12.24,42.88,51.39,Low
16.64,9.78,18.58,25.99,38.09,38.18,High
46.72,8.92,46.07,16.55,24.04,36.91,Moderate
24.0,13.44,18.23,8.28,20.37,27.08,High
60.5,6.6,38.76,10.28,22.49,50.41,Low
59.43,5.53,49.84,5.14,36.14,39.68,Low
54.01,5.57,41.04,7.0,25.6,57.56,Low
18.61,16.66,22.12,19.58,8.58,69.62,High
52.89,3.76,42.64,11.08,29.79,48.53,Low
38.76,10.95,39.99,19.45,21.08,58.98,Moderate
56.08,1.61,41.01,9.19,31.2,55.5,Low
40.41,8.46,36.17,24.31,20.56,58.01,Moderate
57.82,3.75,37.62,12.11,21.14,58.38,Low
22.71,21.42,31.13,33.77,29.03,70.82,High
39.39,11.12,38.0,21.05,22.39,62.76,High
44.51,10.85,36.57,19.94,29.37,40.13,Moderate
28.44,7.98,15.21,25.53,20.08,74.18,High
59.25,2.11,37.24,7.8,39.02,42.83,Low
22.19,15.12,21.18,27.7,21.22,70.64,High
57.82,4.17,38.16,4.57,33.7,53.47,Low
55.43,4.77,40.47,12.13,28.51,51.57,Low
51.18,5.9,37.19,22.64,26.43,49.96,Moderate
36.38,12.36,34.21,15.71,19.78,60.21,Moderate
53.79,6.87,38.53,15.06,32.05,37.53,Low
11.74,20.2,30.47,19.75,18.88,62.35,High
26.7,20.01,27.67,6.2,17.32,65.24,High
55.52,3.62,35.72,7.62,41.75,63.82,Low
24.25,21.93,16.51,24.19,9.9,73.07,High
37.36,4.16,41.1,6.37,30.13,44.87,Moderate
40.33,10.21,37.51,20.59,32.53,38.85,Moderate
25.71,14.49,24.89,10.59,17.2,59.46,High
25.54,19.8,17.61,22.96,41.05,64.78,High
65.62,5.03,49.18,5.79,37.37,47.54,Low
41.01,9.59,36.77,21.34,20.72,58.58,Moderate
13.2,20.78,29.18,34.42,22.77,61.37,High
35.24,6.48,47.98,14.43,37.48,50.28,Moderate
39.57,11.98,37.85,19.47,21.23,41.54,Moderate
18.13,13.71,22.71,20.38,24.57,71.24,High
38.26,12.16,39.81,14.04,34.38,57.21,Moderate
56.27,7.05,38.72,10.34,33.82,47.4,Low
46.13,3.74,41.72,9.64,47.0,40.41,Low
65.52,6.35,39.49,3.32,44.35,57.51,Low
19.16,7.36,20.94,11.15,27.6,30.68,High
70.88,5.14,43.48,6.22,37.14,54.86,Low
56.16,3.1,42.47,16.4,43.48,35.97,Moderate
21.76,11.59,14.79,7.68,45.31,30.75,High
64.97,5.18,40.92,11.73,41.17,53.04,Low
74.45,6.02,47.8,8.65,34.84,49.05,Low
60.9,3.81,37.74,12.38,30.91,46.97,Low
68.16,8.06,50.76,8.13,37.07,42.72,Low
39.28,3.58,39.82,10.18,41.23,50.72,Moderate
43.22,10.67,34.11,16.33,27.01,41.19,Moderate
56.02,6.38,36.16,9.06,22.54,49.25,Low
53.42,12.76,43.09,9.62,26.02,51.58,Low
27.36,21.86,22.35,33.89,34.95,72.08,High
16.2,11.36,28.9,24.16,17.61,32.3,High
68.18,7.65,40.28,9.09,22.98,55.94,Low
61.0,4.0,46.68,13.14,25.56,51.11,Low
39.81,7.56,36.75,11.7,23.0,50.36,Moderate
16.56,10.15,15.24,9.92,12.49,29.12,High
18.15,21.5,31.85,8.3,26.99,33.18,High
18.72,11.58,14.83,34.93,39.1,67.46,High
55.26,4.52,39.26,6.04,26.55,52.52,Low
47.25,6.4,35.03,23.79,21.91,41.83,Moderate
23.12,19.14,13.41,7.5,38.55,29.23,High
47.78,2.49,41.7,7.89,44.74,44.89,Low
40.22,6.1,34.69,23.55,26.1,56.85,Moderate
53.02,6.92,38.1,2.69,49.55,55.05,Low
26.49,14.85,28.28,14.11,38.81,64.83,High
40.13,10.33,36.48,16.04,26.67,62.93,Moderate
48.02,6.28,45.06,13.26,33.06,58.3,Low
34.23,6.73,41.01,5.46,36.11,57.66,Moderate
22.19,6.39,31.9,19.15,18.25,63.54,High
34.17,8.9,34.01,21.51,33.28,56.7,Moderate
57.58,10.91,46.47,17.94,25.58,42.95,Moderate
21.96,11.91,22.2,8.56,19.07,61.68,High
40.53,11.03,37.82,17.45,29.44,59.89,Moderate
25.19,20.28,14.84,15.04,49.57,25.84,High
51.95,13.63,44.08,12.88,29.64,46.68,Moderate
34.35,10.45,28.79,15.69,23.74,40.78,Moderate
54.34,5.09,40.97,5.1,35.61,41.54,Low
23.2,9.04,24.37,6.4,28.83,71.59,High
18.22,19.16,15.23,5.52,34.34,39.86,High
46.65,5.88,47.07,16.0,29.54,52.01,Low
11.06,14.49,29.92,14.77,44.09,58.15,High
17.62,18.89,13.15,13.77,46.32,62.57,High
18.86,13.87,20.78,5.38,42.75,73.02,High
58.08,5.62,47.99,6.52,36.25,55.33,Low
24.09,21.96,21.37,18.61,47.64,27.74,High
46.57,4.63,35.63,14.26,41.45,64.62,Moderate
40.6,11.03,36.57,17.01,20.99,62.32,High
35.14,4.48,35.88,12.74,33.58,48.13,Moderate
44.61,8.73,37.5,18.94,22.27,57.0,Moderate
46.64,6.52,42.83,9.58,36.29,44.36,Low
38.53,8.82,36.44,21.73,18.1,60.59,Moderate
37.84,11.27,32.04,15.82,30.87,37.15,Moderate
55.54,4.05,38.55,9.38,43.21,52.16,Low
40.2,8.7,30.5,16.68,25.34,41.28,Moderate
36.29,4.97,42.31,7.89,24.08,48.09,Moderate
17.15,17.8,21.1,11.7,46.33,33.52,High
77.11,9.5,44.18,9.74,41.47,51.63,Low
34.61,10.32,28.35,17.58,20.54,36.36,High
17.12,20.69,24.54,9.9,47.27,25.41,High
36.73,8.04,36.66,13.52,33.54,42.74,Moderate
26.96,14.0,19.76,16.94,10.51,25.34,High
40.98,11.5,38.34,21.93,30.3,56.25,Moderate
37.61,10.75,29.65,20.46,24.16,38.45,High
15.16,7.7,28.77,26.44,28.19,64.0,High
26.26,18.27,21.74,28.07,23.42,73.91,High
18.69,10.99,12.34,27.33,48.74,70.83,High
40.44,11.17,38.35,20.67,21.83,43.19,Moderate
44.62,7.19,34.0,5.93,38.98,54.44,Low
60.65,3.14,45.03,7.87,35.98,49.32,Low
43.83,10.63,35.96,20.98,22.35,58.48,Moderate
35.73,5.52,41.68,8.36,29.31,58.49,Moderate
14.69,8.36,19.57,15.49,46.74,72.73,High
27.48,10.19,21.1,16.52,32.06,62.34,High
59.07,11.34,43.14,8.74,22.91,56.81,Low
16.42,11.2,26.49,32.68,21.27,24.4,High
16.68,16.9,24.29,30.94,30.1,34.89,High
43.0,3.74,51.08,5.11,33.49,44.59,Low
13.52,19.68,30.24,10.89,48.16,59.6,High
52.23,4.77,49.92,14.35,38.39,45.19,Low
40.75,4.37,40.04,10.7,22.03,46.28,Moderate
44.86,6.4,46.16,11.09,31.21,57.11,Low
23.98,8.05,30.88,6.31,11.57,62.22,High
41.13,8.77,30.18,17.0,29.19,58.25,Moderate
23.37,12.98,19.73,4.41,39.24,58.65,High
11.46,11.93,15.71,20.13,45.8,71.05,High
35.78,6.7,47.32,9.82,39.43,56.81,Moderate
17.49,11.08,17.69,11.9,30.74,30.32,High
20.51,10.38,20.72,18.13,14.5,33.61,High
39.75,4.79,40.94,7.93,39.5,49.51,Moderate
55.03,6.06,40.98,14.93,24.0,36.47,Low
60.65,12.9,46.3,6.09,25.36,43.32,Low
51.58,4.08,33.66,21.94,32.69,51.39,Moderate
48.78,8.24,36.83,18.73,21.94,54.41,Moderate
43.0,5.63,36.64,8.86,40.02,51.81,Low
71.4,4.87,47.3,6.71,32.26,52.15,Low
47.09,4.01,36.74,8.66,33.51,43.74,Low
57.42,5.57,42.86,6.55,21.94,53.02,Low
40.14,9.71,29.45,20.72,20.58,36.12,Moderate
69.44,7.18,42.67,9.13,30.52,44.51,Low
16.05,6.24,16.26,7.54,49.92,27.2,High
38.25,10.55,33.21,20.83,25.64,37.42,High
74.02,5.28,45.11,11.17,44.31,48.27,Low
60.47,7.42,42.75,10.73,29.2,58.75,Low
57.95,8.36,50.48,7.07,43.79,57.83,Low
43.0,3.85,41.73,9.17,38.93,59.08,Low
24.35,21.77,12.28,33.69,27.55,58.13,High
44.61,5.56,32.89,21.86,25.62,44.91,Moderate
59.15,7.02,39.88,13.77,31.58,65.42,Low
17.3,15.35,27.85,24.46,18.61,28.79,High
50.11,3.46,36.81,8.92,33.9,44.76,Low
69.8,5.2,34.0,6.7,24.46,41.13,Low
57.89,9.17,47.14,1.1,27.91,53.92,Low
42.46,10.29,34.81,19.27,27.05,59.73,Moderate
18.16,10.9,25.06,21.9,23.48,36.75,High
57.61,13.46,45.61,17.25,26.59,53.94,Moderate
18.91,12.65,27.58,7.61,31.57,70.29,High
23.46,6.43,20.35,23.68,14.89,67.52,High
21.11,20.38,21.31,33.33,48.0,31.9,High
14.05,18.87,24.14,7.85,43.73,67.48,High
27.73,11.39,21.28,21.62,28.79,29.05,High
54.01,6.24,47.54,12.27,27.54,50.97,Low
35.88,3.48,43.08,13.43,34.41,43.31,Moderate
25.83,7.27,19.25,19.81,9.07,41.97,High
47.89,12.94,40.63,15.12,37.24,59.11,Moderate
40.14,12.37,31.85,15.22,22.14,56.71,Moderate
59.62,3.43,46.52,9.65,26.19,65.37,Moderate
14.18,17.27,14.85,14.1,18.78,68.99,High
77.55,4.51,41.51,6.44,20.51,47.08,Low
23.62,7.96,31.43,34.84,43.01,74.46,High
36.68,11.77,32.19,19.82,32.72,59.86,High
57.02,6.9,51.28,14.53,38.5,57.16,Low
26.89,14.31,23.51,18.21,8.29,25.03,High
64.03,4.22,48.69,4.52,32.55,42.48,Low
52.25,4.64,41.57,9.45,22.67,61.36,Low
35.17,3.16,34.29,5.09,34.58,44.31,Moderate
41.3,5.76,42.88,8.57,41.14,42.41,Low
61.89,5.4,42.55,12.13,36.85,49.32,Low
48.32,4.3,52.8,8.17,56.66,49.58,Low
39.46,6.01,37.6,6.78,30.13,54.62,Moderate
47.6,12.81,44.92,13.86,43.7,40.67,Moderate
43.18,7.92,38.33,8.42,29.18,66.29,Moderate
22.22,10.22,23.17,29.39,21.57,30.65,High
43.64,10.51,48.0,17.04,37.52,49.15,Moderate
51.26,7.25,43.42,13.0,39.92,64.62,Moderate
59.12,5.52,50.09,4.49,31.5,45.58,Low
55.99,5.23,46.25,10.1,35.79,56.95,Low
40.27,11.32,39.23,21.55,18.13,61.95,High
45.89,9.14,38.59,22.47,21.95,59.9,Moderate
17.21,10.62,21.77,22.5,35.82,66.24,High
70.3,5.13,51.36,7.94,30.75,58.08,Low
41.83,4.91,42.11,18.47,41.63,50.69,Moderate
48.53,6.0,45.77,12.49,25.55,53.89,Low
35.55,10.51,38.78,16.15,18.66,38.92,High
17.28,13.78,26.76,21.3,27.57,61.67,High
51.88,6.78,42.34,9.63,40.2,41.74,Low
43.0,3.88,51.31,8.37,46.07,42.48,Low
19.42,12.44,23.88,27.39,29.69,25.17,High
57.58,6.72,37.35,5.93,39.46,59.32,Low
13.22,11.79,26.38,8.67,16.38,64.38,High
58.18,12.75,34.45,14.47,29.28,49.33,Low
72.27,1.39,48.76,7.39,40.79,52.89,Low
14.89,18.04,12.87,32.74,8.33,59.54,High
25.93,20.82,28.78,29.34,38.14,69.12,High
57.29,12.97,36.71,9.54,42.7,43.72,Moderate
34.68,11.07,36.36,19.64,25.32,42.24,Moderate
37.23,8.45,30.97,21.13,26.44,56.36,Moderate
50.4,5.88,47.8,13.08,28.12,51.31,Low
17.65,8.19,27.94,27.04,47.46,38.4,High
65.75,6.17,37.87,16.0,20.0,51.03,Low
58.9,3.19,39.27,14.5,29.21,61.97,Low
38.22,12.18,30.45,21.08,19.05,57.79,Moderate
47.24,8.02,47.38,20.49,41.02,56.11,Moderate
35.92,12.03,28.75,17.16,19.72,61.52,High
56.37,5.11,50.62,14.23,41.7,52.39,Low
44.94,3.71,38.6,8.42,31.28,66.72,Moderate
49.34,13.52,37.45,15.31,33.43,48.97,Moderate
27.56,7.93,15.47,17.54,46.55,70.26,High
46.91,13.41,37.39,11.42,40.09,58.64,Moderate
27.9,12.07,27.2,13.73,9.18,74.22,High
59.55,12.74,42.66,7.48,44.5,49.99,Low
66.72,7.32,41.84,7.24,45.32,52.13,Low
50.87,6.22,53.51,7.93,36.35,49.94,Low
35.27,4.78,46.37,9.03,25.17,57.97,Moderate
54.79,6.02,44.96,19.28,38.94,42.22,Low
25.88,20.31,24.88,27.0,22.4,66.31,High
61.44,4.61,49.63,7.42,30.01,40.42,Low
71.77,4.41,41.83,12.11,28.99,54.42,Low
55.34,11.7,35.28,18.0,34.41,43.8,Moderate
34.56,8.36,35.54,8.38,30.28,46.93,Moderate
37.07,11.25,37.56,16.82,33.18,39.89,Moderate
63.62,3.56,36.94,9.23,30.78,58.86,Low
43.0,2.16,38.4,8.62,43.95,43.76,Low
55.2,3.2,39.73,13.22,34.89,62.16,Low
45.75,11.27,34.35,16.98,18.65,43.97,Moderate
24.15,11.0,31.87,10.0,44.91,32.93,High
44.2,11.18,47.65,14.33,29.03,49.91,Moderate
45.88,4.75,34.37,9.11,42.98,38.74,Low
49.38,3.31,46.11,6.87,32.1,53.13,Low
19.14,10.68,25.12,9.5,22.81,73.23,High
48.7,4.81,42.77,9.34,44.89,41.16,Low
27.27,10.73,28.23,30.11,42.31,32.42,High
54.06,11.24,45.16,13.91,41.68,42.72,Low
52.48,7.24,35.78,7.86,20.0,53.27,Low
57.55,5.21,35.6,21.58,21.43,43.88,Moderate
54.68,4.21,49.45,8.19,40.27,42.76,Low
67.05,4.27,44.41,8.88,37.77,43.39,Low
53.96,6.76,42.05,24.75,25.49,54.11,Moderate
48.58,4.48,45.77,8.07,39.79,50.02,Low
42.4,6.95,47.75,21.74,42.44,52.93,Moderate
46.39,10.65,36.63,11.12,44.68,58.04,Low
53.06,11.98,35.51,8.52,26.79,49.33,Low
39.74,11.67,38.99,17.61,23.69,37.36,High
17.42,19.39,15.01,24.71,19.01,31.01,High
51.9,3.63,40.66,11.42,34.66,40.33,Low
57.48,4.8,43.39,13.53,43.85,42.52,Low
11.58,20.26,18.09,20.25,28.18,32.7,High
36.36,12.36,37.33,16.8,32.07,62.53,High
44.31,6.22,46.7,24.57,39.88,53.65,Moderate
40.23,7.13,46.14,6.64,25.59,49.34,Moderate
35.04,4.8,46.7,15.72,39.69,48.76,Moderate
22.55,9.3,12.19,34.71,27.61,32.03,High
41.64,8.78,35.17,17.62,25.34,55.18,Moderate
43.0,9.5,46.37,3.67,20.0,40.88,Low
37.86,3.14,45.69,8.89,24.23,51.4,Moderate
20.42,17.9,26.82,21.75,19.95,34.61,High
50.92,4.8,36.5,24.55,21.31,43.2,Moderate
38.47,11.19,28.72,20.01,18.12,62.88,High
56.26,6.44,45.54,11.18,42.98,43.52,Low
19.38,20.16,23.75,12.31,32.32,67.84,High
55.48,7.63,45.84,18.57,44.9,58.61,Low
58.27,7.84,40.95,9.91,27.87,53.36,Low
53.09,4.21,45.5,8.93,27.59,55.18,Low
67.2,6.6,54.49,11.02,35.6,40.0,Low
40.69,8.64,33.7,17.36,24.48,57.98,Moderate
19.99,6.91,31.15,26.54,32.55,73.45,High
57.73,5.61,40.34,19.76,35.83,44.33,Moderate
69.47,4.27,45.49,10.04,22.35,59.9,Low
35.33,12.4,34.01,19.03,23.07,61.29,High
34.27,9.86,36.12,15.19,31.6,56.56,Moderate
56.18,3.17,47.02,9.32,36.19,47.38,Low
17.96,7.18,31.6,19.54,12.62,62.75,High
67.79,2.82,43.5,1.91,26.37,54.62,Low
17.21,21.13,25.24,9.78,48.39,60.05,High
50.65,1.99,44.51,9.13,32.12,53.02,Low
37.52,8.3,47.89,13.16,43.61,54.78,Moderate
53.9,8.38,42.22,9.77,39.48,66.13,Moderate
55.43,6.82,51.34,8.97,40.01,56.72,Low
47.16,7.79,43.2,2.04,37.23,58.78,Low
40.94,9.23,30.19,18.85,24.6,55.26,Moderate
48.12,4.93,41.22,7.85,24.65,39.38,Low
33.38,5.23,47.12,6.83,25.18,47.56,Moderate
38.0,7.18,41.98,14.38,33.55,41.59,Moderate
52.92,3.5,44.88,16.49,23.33,39.32,Low
40.57,9.25,39.57,16.97,18.33,41.54,Moderate
42.66,9.08,30.44,18.55,18.01,58.9,Moderate
22.08,17.35,30.97,29.22,29.49,67.17,High
45.55,11.84,38.14,18.01,29.49,62.51,Moderate
25.18,12.18,30.85,12.2,23.08,35.8,High
34.03,6.81,40.34,5.64,34.72,49.89,Moderate
54.0,7.54,44.06,7.19,26.37,53.92,Low
40.96,11.31,38.25,16.7,23.21,42.24,Moderate
45.81,10.09,34.19,16.92,24.28,42.31,Moderate
19.44,14.78,20.33,29.54,13.7,30.85,High
56.52,8.33,42.11,14.38,35.27,65.85,Moderate
24.36,20.17,29.68,27.08,40.43,71.63,High
62.24,6.99,50.44,8.72,27.48,42.06,Low
20.75,17.94,21.64,7.58,20.49,69.75,High
74.41,3.86,35.95,11.82,29.71,49.91,Low
27.26,19.59,20.94,33.19,22.88,31.97,High
19.55,13.05,24.8,25.61,40.38,75.85,High
15.28,15.55,22.85,7.09,45.94,30.09,High
50.6,8.52,45.86,7.73,44.32,51.9,Low
38.69,11.31,34.06,20.96,34.45,57.61,Moderate
35.91,4.57,43.68,13.1,25.22,48.6,Moderate
55.07,6.58,42.66,13.04,35.93,36.69,Low
43.0,6.44,36.26,9.77,35.7,60.41,Low
22.72,20.11,24.76,11.17,46.83,58.84,High
37.03,10.43,33.56,15.37,22.22,62.66,Moderate
45.53,1.73,48.34,8.0,33.25,53.1,Low
62.91,5.7,34.53,6.48,32.29,49.47,Low
40.75,5.47,44.88,7.41,41.39,54.53,Moderate
46.02,12.27,46.32,15.75,27.05,40.25,Moderate
42.14,10.18,37.39,16.78,20.03,39.99,Moderate
26.21,6.01,27.33,11.21,43.96,31.44,High
27.14,15.26,31.0,30.79,30.76,25.08,High
62.12,0.5,45.48,16.0,42.94,47.01,Low
53.53,5.51,35.61,11.17,23.0,34.71,Moderate
41.5,10.64,38.07,21.63,23.6,37.91,High
47.17,3.81,48.11,11.67,22.33,58.35,Low
52.46,4.19,34.04,7.05,32.03,47.98,Low
16.18,13.6,19.36,30.72,34.8,75.75,High
56.72,8.92,38.86,7.9,35.01,59.66,Low
35.11,4.34,39.75,12.37,39.61,54.9,Moderate
54.31,7.18,37.5,9.76,28.33,35.91,Moderate
14.96,15.3,12.76,26.09,41.71,30.25,High
54.24,7.34,53.09,6.03,28.45,57.5,Low
18.71,11.29,23.35,15.21,23.88,31.02,High
26.23,18.78,24.28,20.99,8.63,65.86,High
57.12,5.86,43.96,3.0,34.31,49.09,Low
